UF,populacao,sigla,ano,homicidios,regiao,homicidiosProporcional
Distrito Federal,3039444,DF,2017,610,centro-oeste,20.069460072302697
Goiás,6778772,GO,2017,2901,centro-oeste,42.795361755787034
Mato Grosso,3344544,MT,2017,1102,centro-oeste,32.949185299999044
Mato Grosso do Sul,2713147,MS,2017,659,centro-oeste,24.289137300706521
Alagoas,3375823,AL,2017,1813,nordeste,53.705422351823543
Bahia,15344447,BA,2017,7487,nordeste,48.792895566715437
Ceará,9020460,CE,2017,5433,nordeste,60.229744381106947
Maranhão,7000229,MA,2017,2180,nordeste,31.141838359859371
Paraíba,4025558,PB,2017,1341,nordeste,33.312152004765551
Pernambuco,9473266,PE,2017,5419,nordeste,57.203080753775943
Piauí,3219257,PI,2017,626,nordeste,19.445480742916764
Rio Grande do Norte,3507003,RN,2017,2203,nordeste,62.817168961646168
Sergipe,2288116,SE,2017,1313,nordeste,57.383454335357122
Acre,829619,AC,2017,516,norte,62.197225473379952
Amapá,797722,AP,2017,383,norte,48.011713353774873
Amazonas,4063614,AM,2017,1674,norte,41.194857582437699
Pará,8366628,PA,2017,4575,norte,54.681527611840757
Rondônia,1805788,RO,2017,554,norte,30.679127339421903
Roraima,522636,RR,2017,248,norte,47.451763751444602
Tocantins,1550194,TO,2017,557,norte,35.930986702309518
Espírito Santo,4016356,ES,2017,1521,sudeste,37.870148960898888
Minas Gerais,21119536,MG,2017,4299,sudeste,20.355560841866982
Rio de Janeiro,16718956,RJ,2017,6416,sudeste,38.375601921555386
São Paulo,45094866,SP,2017,4631,sudeste,10.26946171655106
Paraná,11320892,PR,2017,2759,sul,24.370871129236107
Rio Grande do Sul,11322895,RS,2017,3316,sul,29.285796609436016
Santa Catarina,7001161,SC,2017,1066,sul,15.226046080071576
